Institution Type / Institution,Fice Code,Average of Resident Tuition and Fees,Average of Non-Resident Tuition and Fees,Average of In-District Tuition and Fees,Average of Out-of-District Tuition and Fees,Average of Books and Supplies,Average of Room and Board off-Campus,Average of Transportation Off-Campus,Average of Personal Expenses Off-Campus,Average of Total Resident Costs,Average of Total Non Resident Costs,Average of Total In District Costs,Average of Total Out of District Costs,Year,Public / Private
Lubbock Christian University,3586,14700,14700,0,0,1100,5884,1836,2054,25574,25574,10874,10874,2008,Private
McMurry University,3591,18135,18135,0,0,1200,5000,1800,1800,27935,27935,9800,9800,2008,Private
Our Lady of the Lake University of San Antonio,3598,20232,20232,0,0,1200,3000,1450,1850,27732,27732,7500,7500,2008,Private
Paul Quinn College,3602,9780,9780,0,0,1200,5170,1100,1000,18250,18250,8470,8470,2008,Private
Rice University,3604,30486,30486,0,0,800,10750,600,1550,44186,44186,13700,13700,2008,Private
Schreiner University,3610,17992,17992,0,0,1000,6810,1000,1000,27802,27802,9810,9810,2008,Private
Southern Methodist University,3613,33170,33170,0,0,800,7500,1000,1100,43570,43570,10400,10400,2008,Private
Southwestern Adventist University,3619,15236,15236,0,0,936,4214,1304,1254,22944,22944,7708,7708,2008,Private
Southwestern Assemblies of God University,3616,12850,12850,0,0,1146,12094,3574,2354,32018,32018,19168,19168,2008,Private
Southwestern Christian College,3618,6182,6182,0,0,630,3308,800,400,11320,11320,5138,5138,2008,Private
Southwestern University,3620,27940,27940,0,0,1000,4940,430,950,35260,35260,7320,7320,2008,Private
St. Edward's University,3621,22770,22770,0,0,1100,7150,870,2110,34000,34000,11230,11230,2008,Private
St. Mary's University,3623,21156,21156,0,0,2200,4000,800,1844,30000,30000,8844,8844,2008,Private
Texas Christian University,3636,26948,26948,0,0,880,9600,800,1500,39728,39728,12780,12780,2008,Private
Texas College,3638,9228,9228,0,0,800,6380,650,1740,18798,18798,9570,9570,2008,Private
Texas Lutheran University,3641,20970,20970,0,0,950,5430,1500,960,29810,29810,8840,8840,2008,Private
Texas Wesleyan University,3645,16730,16730,0,0,1020,6174,999,1863,26786,26786,10056,10056,2008,Private
The College of Saints John Fisher & Thomas More,420352,12250,12250,0,0,650,45000,1700,1675,61275,61275,49025,49025,2008,Private
Trinity University,3647,26834,26834,0,0,950,5918,0,1050,34752,34752,7918,7918,2008,Private
University of Dallas,3651,24770,24770,0,0,1700,7603,1200,1500,36773,36773,12003,12003,2008,Private
University of Mary Hardin-Baylor,3588,19650,19650,0,0,1200,5810,1638,1702,30000,30000,10350,10350,2008,Private
University of St. Thomas,3654,20560,20560,0,0,1030,9206,2533,1888,35217,35217,14657,14657,2008,Private
University of the Incarnate Word,3578,20260,20260,0,0,1000,5408,1152,1560,29380,29380,9120,9120,2008,Private
Wayland Baptist University,3663,12100,12100,0,0,1248,7488,973,1732,23541,23541,11441,11441,2008,Private
Wiley College,3669,9970,9970,0,0,286,4540,2270,1334,18400,18400,8430,8430,2008,Private
Angelo State University,3541,5410,13840,0,0,1150,7918,1968,1968,18414,26844,13004,13004,2009,Public
Lamar University,3581,6606,14916,0,0,1480,7448,2320,2180,20034,28344,13428,13428,2009,Public
Midwestern State University,3592,6544,14854,0,0,1500,6488,1362,1462,17356,25666,10812,10812,2009,Public
Prairie View A&M University,3630,6664,14974,0,0,1138,7618,1000,1000,17420,25730,10756,10756,2009,Public
Sam Houston State University,3606,6515,14825,0,0,1063,7764,3380,1764,20486,28796,13971,13971,2009,Public
Stephen F. Austin State University,3624,6528,14838,0,0,1072,7377,2711,1673,19361,27671,12833,12833,2009,Public
Sul Ross State University,3625,5302,13732,0,0,1195,6460,1806,2012,16775,25205,11473,11473,2009,Public
Sul Ross State University Rio Grande College,20,3636,11946,0,0,569,0,0,0,4205,12515,569,569,2009,Public
Tarleton State University,3631,5942,14372,0,0,1174,7680,1111,2270,18177,26607,12235,12235,2009,Public
Texas A&M International University,9651,5746,14176,0,0,1750,6918,1052,2260,17726,26156,11980,11980,2009,Public
Texas A&M University,3632,8391,22701,0,0,1278,8039,600,2223,20531,34841,12140,12140,2009,Public
Texas A&M University at Galveston,10298,7063,15493,0,0,1278,8039,1200,2223,19803,28233,12740,12740,2009,Public
Texas A&M University-Commerce,3565,5500,13840,0,0,1400,7822,1500,1830,18052,26392,12552,12552,2009,Public
Texas A&M University-Corpus Christi,11161,6098,14408,0,0,1208,8941,1611,1436,19294,27604,13196,13196,2009,Public
Texas A&M University-Kingsville,3639,5694,14544,0,0,1200,6762,2298,2636,18590,27440,12896,12896,2009,Public
Texas A&M University-Texarkana,29269,4538,12848,0,0,1160,5380,2616,1728,15422,23732,10884,10884,2009,Public
Texas Southern University,3642,6401,14711,0,0,1343,12380,2128,2266,24518,32828,18117,18117,2009,Public
Texas State University,3615,7480,15790,0,0,1050,7520,1310,2100,19460,27770,11980,11980,2009,Public
Texas Tech University,3644,7785,16095,0,0,1000,7688,1500,1890,19863,28173,12078,12078,2009,Public
Texas Woman's University,3646,6660,14970,0,0,990,5932,1154,2204,16940,25250,10280,10280,2009,Public
The University of Texas at Arlington,3656,8378,15684,0,0,908,7362,2500,1490,20638,27944,12260,12260,2009,Public
The University of Texas at Austin,3658,8842,20416,0,0,860,9980,1010,2472,23164,34738,14322,14322,2009,Public
The University of Texas at Brownsville,30646,5498,13808,0,0,646,9021,1689,2608,19462,27772,13964,13964,2009,Public
The University of Texas at Dallas,9741,10340,23730,0,0,1200,7200,2000,1929,22669,36059,12329,12329,2009,Public
The University of Texas at El Paso,3661,6224,14534,0,0,1299,10504,1914,1570,21511,29821,15287,15287,2009,Public
The University of Texas at San Antonio,10115,8092,16402,0,0,1000,8322,2358,1750,21522,29832,13430,13430,2009,Public
The University of Texas at Tyler,11163,6042,14472,0,0,950,8070,1912,1233,18207,26637,12165,12165,2009,Public
The University of Texas Permian Basin,9930,5300,13730,0,0,910,4645,1617,1922,14394,22824,9094,9094,2009,Public
The University of Texas-Rio Grande Valley,3599,5425,13735,0,0,1000,6984,2732,1800,17941,26251,12516,12516,2009,Public
University of Houston,3652,8496,16598,0,0,1100,9233,2497,2624,23950,32052,15454,15454,2009,Public
University of Houston-Clear Lake,11711,5798,15038,0,0,1024,10828,1260,3318,22228,31468,16430,16430,2009,Public
University of Houston-Downtown,12826,5000,13430,0,0,1076,8600,3200,3800,21676,30106,16676,16676,2009,Public
University of Houston-Victoria,13231,5400,13710,0,0,1100,8776,1922,2028,19226,27536,13826,13826,2009,Public
University of North Texas,3594,7660,15970,0,0,1250,6530,2064,1896,19400,27710,11740,11740,2009,Public
West Texas A&M University,3665,5890,14200,0,0,1000,5898,1850,1900,16538,24848,10648,10648,2009,Public
Abilene Christian University,3537,20290,20290,0,0,1200,4250,1440,1860,29040,29040,8750,8750,2009,Private
Austin College,3543,27875,27875,0,0,1200,3750,500,800,34125,34125,6250,6250,2009,Private
Baylor University,3545,27910,27910,0,0,1398,6876,2250,2206,40640,40640,12730,12730,2009,Private
Concordia University Texas,3557,21200,21200,0,0,1300,5187,770,1255,29712,29712,8512,8512,2009,Private
Dallas Baptist University,3560,17490,17490,0,0,1950,8631,2466,1683,32220,32220,14730,14730,2009,Private
East Texas Baptist University,3564,17180,17180,0,0,892,4586,848,1448,24954,24954,7774,7774,2009,Private
Hardin-Simmons University,3571,19790,19790,0,0,800,5788,1098,1476,28952,28952,9162,9162,2009,Private
Houston Baptist University,3576,20830,20830,0,0,1230,7100,2220,1825,33205,33205,12375,12375,2009,Private
Howard Payne University,3575,18650,18650,0,0,1200,3940,1090,1620,26500,26500,7850,7850,2009,Private
Huston-Tillotson University,3577,10634,10634,0,0,800,7190,1326,2252,22202,22202,11568,11568,2009,Private
Jarvis Christian College,3637,9608,9608,0,0,1000,5996,1200,1800,19604,19604,9996,9996,2009,Private
Letourneau University,3584,20900,20900,0,0,1365,9015,1200,1595,34075,34075,13175,13175,2009,Private
Lubbock Christian University,3586,15280,15280,0,0,1150,6182,1928,2158,26698,26698,11418,11418,2009,Private
McMurry University,3591,19430,19430,0,0,1200,5074,1827,1827,29358,29358,9928,9928,2009,Private
Our Lady of the Lake University of San Antonio,3598,20824,20824,0,0,1200,6538,1450,1850,31862,31862,11038,11038,2009,Private
Paul Quinn College,3602,10850,10850,0,0,800,6350,1400,1400,20800,20800,9950,9950,2009,Private
Rice University,3604,32057,32057,0,0,800,11230,600,1550,46237,46237,14180,14180,2009,Private
Schreiner University,3610,18731,18731,0,0,1000,6810,1000,1000,28541,28541,9810,9810,2009,Private
Southern Methodist University,3613,35160,35160,0,0,800,7500,1000,1100,45560,45560,10400,10400,2009,Private
Southwestern Adventist University,3619,15836,15836,0,0,1008,6674,1386,1268,26172,26172,10336,10336,2009,Private
Southwestern Assemblies of God University,3616,13780,13780,0,0,1204,12706,1878,2474,32042,32042,18262,18262,2009,Private
Southwestern Christian College,3618,6182,6182,0,0,630,3308,800,400,11320,11320,5138,5138,2009,Private
Southwestern University,3620,30220,30220,0,0,1000,5070,450,950,37690,37690,7470,7470,2009,Private
St. Edward's University,3621,24440,24440,0,0,1100,8400,870,1790,36600,36600,12160,12160,2009,Private
St. Mary's University,3623,21876,21876,0,0,1300,4000,800,2024,30000,30000,8124,8124,2009,Private
Texas Christian University,3636,28298,28298,0,0,1000,9780,800,1500,41378,41378,13080,13080,2009,Private
Texas College,3638,9228,9228,0,0,800,6380,650,1740,18798,18798,9570,9570,2009,Private
Texas Lutheran University,3641,21910,21910,0,0,950,5430,1500,960,30750,30750,8840,8840,2009,Private
Texas Wesleyan University,3645,17760,17760,0,0,1020,6390,999,1935,28104,28104,10344,10344,2009,Private
The College of Saints John Fisher & Thomas More,420352,12490,12490,0,0,650,4750,1750,1725,21365,21365,8875,8875,2009,Private
Trinity University,3647,28452,28452,0,0,950,6160,0,1050,36612,36612,8160,8160,2009,Private
University of Dallas,3651,26293,26293,0,0,1700,8150,1800,1500,39443,39443,13150,13150,2009,Private
University of Mary Hardin-Baylor,3588,20550,20550,0,0,1200,5810,1738,1702,31000,31000,10450,10450,2009,Private
University of St. Thomas,3654,21880,21880,0,0,530,9482,2532,1944,36368,36368,14488,14488,2009,Private
University of the Incarnate Word,3578,21290,21290,0,0,1200,5514,1174,1590,30768,30768,9478,9478,2009,Private
Wayland Baptist University,3663,12966,12966,0,0,1248,7862,1010,1820,24906,24906,11940,11940,2009,Private
Wiley College,3669,9970,9970,0,0,200,4760,1200,1060,17190,17190,7220,7220,2009,Private
Angelo State University,3541,6140,14450,0,0,1150,8338,2025,2025,19678,27988,13538,13538,2010,Public
Lamar University,3581,6924,16224,0,0,1452,7304,2276,2138,20094,29394,13170,13170,2010,Public
Midwestern State University,3592,7038,16338,0,0,1500,6682,1402,1506,18128,27428,11090,11090,2010,Public
Prairie View A&M University,3630,6664,14974,0,0,1000,6738,1000,1000,16402,24712,9738,9738,2010,Public
Sam Houston State University,3606,7000,16300,0,0,1084,8016,3316,1730,21146,30446,14146,14146,2010,Public
Stephen F. Austin State University,3624,6998,16297,0,0,1094,7670,2766,1708,20236,29535,13238,13238,2010,Public
Sul Ross State University,3625,5516,14816,0,0,1194,6600,1806,2012,17128,26428,11612,11612,2010,Public
Sul Ross State University Rio Grande College,20,3786,13086,0,0,597,0,0,0,4383,13683,597,597,2010,Public
Tarleton State University,3631,5942,14372,0,0,1174,8542,1111,2270,19039,27469,13097,13097,2010,Public
Texas A&M International University,9651,6093,15393,0,0,1750,6918,1052,2260,18073,27373,11980,11980,2010,Public
Texas A&M University,3632,8481,23781,0,0,1350,8008,550,2225,20614,35914,12133,12133,2010,Public
Texas A&M University at Galveston,10298,7262,17112,0,0,1350,8008,550,2225,19395,29245,12133,12133,2010,Public
Texas A&M University-Central Texas,42295,5942,14372,0,0,1174,8542,1111,2270,19039,27469,13097,13097,2010,Public
Texas A&M University-Commerce,3565,5998,15298,0,0,1400,7978,1545,1867,18788,28088,12790,12790,2010,Public
Texas A&M University-Corpus Christi,11161,6399,15699,0,0,1185,9175,1580,1408,19747,29047,13348,13348,2010,Public
Texas A&M University-Kingsville,3639,6316,15616,0,0,1300,6762,2298,2636,19312,28612,12996,12996,2010,Public
Texas A&M University-San Antonio,42485,5620,13930,0,0,1300,7066,2298,2636,18920,27230,13300,13300,2010,Public
Texas A&M University-Texarkana,29269,4866,14166,0,0,1338,5380,2616,1728,15928,25228,11062,11062,2010,Public
Texas Southern University,3642,7361,15451,0,0,1342,12380,2128,2266,25477,33567,18116,18116,2010,Public
Texas State University,3615,7830,17130,0,0,1050,7520,1310,2100,19810,29110,11980,11980,2010,Public
Texas Tech University,3644,8560,17860,0,0,1000,7966,1500,1890,20916,30216,12356,12356,2010,Public
Texas Woman's University,3646,6960,16260,0,0,1020,6050,1176,2248,17454,26754,10494,10494,2010,Public
The University of Texas at Arlington,3656,8690,15996,0,0,908,7472,2538,1512,21120,28426,12430,12430,2010,Public
The University of Texas at Austin,3658,9418,21352,0,0,874,10250,1200,2424,24166,36100,14748,14748,2010,Public
The University of Texas at Brownsville,30646,5714,15014,0,0,646,9021,1689,2608,19678,28978,13964,13964,2010,Public
The University of Texas at Dallas,9741,10744,25866,0,0,1200,8310,2000,1930,24184,39306,13440,13440,2010,Public
The University of Texas at El Paso,3661,6504,15804,0,0,1335,10814,1972,1616,22241,31541,15737,15737,2010,Public
The University of Texas at San Antonio,10115,8410,16720,0,0,1000,8482,2358,1785,22035,30345,13625,13625,2010,Public
The University of Texas at Tyler,11163,6322,15622,0,0,1100,9214,1874,1209,19719,29019,13397,13397,2010,Public
The University of Texas Permian Basin,9930,6229,14539,0,0,915,4661,1619,1924,15348,23658,9119,9119,2010,Public
The University of Texas-Rio Grande Valley,3599,5699,14999,0,0,1000,7565,2803,1847,18914,28214,13215,13215,2010,Public
University of Houston,3652,8897,16598,0,0,1100,9233,2497,2624,24351,32052,15454,15454,2010,Public
University of Houston-Clear Lake,11711,6188,16508,0,0,1024,10618,1236,3254,22320,32640,16132,16132,2010,Public
University of Houston-Downtown,12826,5492,14792,0,0,1100,8600,3200,3800,22192,31492,16700,16700,2010,Public
University of Houston-Victoria,13231,5604,14904,0,0,1188,8344,2025,2028,19189,28489,13585,13585,2010,Public
University of North Texas,3594,7960,17260,0,0,1050,6530,2064,1896,19500,28800,11540,11540,2010,Public
University of North Texas at Dallas,42421,6450,15750,0,0,1050,6530,2064,1896,17990,27290,11540,11540,2010,Public
West Texas A&M University,3665,6207,15507,0,0,1000,6134,2000,2000,17341,26641,11134,11134,2010,Public
Abilene Christian University,3537,22760,22760,0,0,1250,7884,1490,1916,35300,35300,12540,12540,2010,Private
Amberton University,22594,7000,7000,0,0,1250,0,0,0,8250,8250,1250,1250,2010,Private
Austin College,3543,29260,29260,0,0,1200,3750,500,800,35510,35510,6250,6250,2010,Private
Baylor University,3545,29724,29724,0,0,1140,6876,2250,2206,42196,42196,12472,12472,2010,Private
Concordia University Texas,3557,21700,21700,0,0,1375,5450,810,1320,30655,30655,8955,8955,2010,Private
Dallas Baptist University,3560,18690,18690,0,0,2040,9063,2592,1764,34149,34149,15459,15459,2010,Private
East Texas Baptist University,3564,19550,19550,0,0,892,4586,848,1448,27324,27324,7774,7774,2010,Private
Hardin-Simmons University,3571,20990,20990,0,0,800,6282,1098,1476,30646,30646,9656,9656,2010,Private
Houston Baptist University,3576,23180,23180,0,0,1350,7100,2310,1900,35840,35840,12660,12660,2010,Private
Howard Payne University,3575,19950,19950,0,0,1200,3940,1090,1620,27800,27800,7850,7850,2010,Private
Huston-Tillotson University,3577,11630,11630,0,0,1400,7446,1326,2252,24054,24054,12424,12424,2010,Private
Jarvis Christian College,3637,11146,11146,0,0,1300,7788,1200,1800,23234,23234,12088,12088,2010,Private
Letourneau University,3584,22510,22510,0,0,1390,9000,1220,1630,35750,35750,13240,13240,2010,Private
Lubbock Christian University,3586,16180,16180,0,0,1150,6368,1928,2158,27784,27784,11604,11604,2010,Private
McMurry University,3591,20830,20830,0,0,1200,5228,1888,1888,31034,31034,10204,10204,2010,Private
Our Lady of the Lake University of San Antonio,3598,21900,21900,0,0,1200,6838,1450,1850,33238,33238,11338,11338,2010,Private
Paul Quinn College,3602,12100,12100,0,0,600,6200,1400,2400,22700,22700,10600,10600,2010,Private
Rice University,3604,33771,33771,0,0,800,11750,600,1550,48471,48471,14700,14700,2010,Private
